n,Loop A (ns),Loop B (ns)
1259,5405355,794130
1260,5135012,642283
1261,5245031,661455
1262,5298851,706444
1263,5546638,749147
1264,6219300,776920
1265,5428023,662801
1266,5175212,648781
1267,5127777,648795
1268,5183717,651209
1269,5163075,651151
1270,5221666,650835
1271,5221589,647008
1272,5207338,654775
1273,5250751,652792
1274,5179915,656980
1275,5245796,727885
1276,5443609,727360
1277,6709770,766533
1278,5718934,679145
1279,5563719,649638
1280,5531154,707145
1281,5720538,717097
1282,5247890,685101
1283,5433280,653810
1284,5318788,654862
1285,5231912,710249
1286,5177556,669574
1287,5442847,698686
1288,5243097,672968
1289,5256175,964065
1290,5922532,873351
1291,5337026,668790
1292,5237527,704109
1293,5407349,697986
1294,5640809,669549
1295,5354919,687790
1296,5238676,733332
1297,6077729,814903
1298,5724643,996047
1299,5801258,704214
1300,5295151,704014
1301,5219176,671836
1302,5212746,773448
1303,5268142,685340
1304,5380004,677162
1305,5620433,762765
1306,5794360,924467
1307,5806313,705937
1308,5669803,712178
1309,5896587,870246
1310,6086017,715334
1311,5656547,998191
1312,5676642,898595
1313,5792376,739896
1314,5755826,684576
1315,5936484,828513
1316,5514145,688640
1317,5610005,691702
1318,5498770,693192
1319,5350200,695803
1320,5670856,837300
1321,5555074,746098
1322,6622274,823516
1323,5541289,719063
1324,5728385,921792
1325,5619697,827871
1326,5719469,744872
1327,6307734,777200
1328,5655933,727437
1329,5871372,800856
1330,5536594,738621
1331,5313348,697607
1332,5437353,704424
1333,5321022,705487
1334,5370224,706017
1335,5315174,709849
1336,5469665,740749
1337,5588468,753812
1338,5472629,739207
1339,5586618,730267
1340,5544392,763517
1341,5628600,732154
1342,5684673,823095
1343,6328717,825892
1344,5625252,718972
1345,5386351,730652
1346,5363793,717731
1347,5438183,717479
1348,5407362,736359
1349,5519775,736649
1350,5443621,731654
1351,5495422,800765
1352,5838166,742858
1353,6167892,892333
1354,5759846,746930
1355,5569952,752965
1356,5667690,750135
1357,5551010,772447
1358,5853474,754765
1359,5630640,756938
1360,5448494,873637
1361,5632844,831097
1362,5484174,750606
1363,5447473,743406
1364,5464673,737788
1365,5477952,745065
1366,5457503,857602
1367,5547349,768342
1368,5738901,772287
1369,5669405,779735
1370,5670023,857387
1371,5931822,849487
1372,5903437,787564
1373,5873687,769993
1374,5654998,793295
1375,5593505,790133
1376,5593225,750080
1377,5489649,746504
1378,5506498,751614
1379,5516765,776446
1380,5546961,772714
1381,5589350,756293
1382,5550174,783174
1383,5673068,781563
1384,5669200,781543
1385,5774761,787902
1386,5796096,787235
1387,5676075,792589
1388,5760915,788226
1389,5716584,783267
1390,5675532,766780
1391,5687443,789785
1392,5572596,779875
1393,5653251,781210
1394,5637685,795938
1395,5636997,1003732
1396,5875105,822956
1397,5996511,945603
1398,6034137,831870
1399,6177283,801424
1400,6029201,799015
1401,6240246,805343
1402,6037507,797114
1403,5858020,892937
1404,6176337,805735
1405,6067348,850280
1406,6297568,1000288
1407,6244936,821825
1408,6214213,854940
1409,6436229,850963
1410,6193452,830000
1411,6260634,861815
1412,7042540,823429
1413,6106828,886857
1414,6820196,944273
1415,6073757,956707
1416,5879664,863330
1417,6579667,894033
1418,5952433,891709
1419,5778852,805782
1420,5686386,820587
1421,5727840,800817
1422,5742974,810354
1423,5681752,812453
1424,5683831,810291
1425,5943858,835128
1426,5884658,852765
1427,5949832,834323
1428,5895920,835549
1429,5861414,854056
1430,5864813,837860
1431,5986430,835436
1432,5870557,843416
1433,5784744,838760
1434,5709928,816822
1435,5714406,816290
1436,5725105,815592
1437,5872815,818246
1438,5813550,814094
1439,5722462,860397
1440,5832102,847970
1441,6182473,939630
1442,5916246,854570
1443,6213343,1065325
1444,6059130,854459
1445,5976985,884967
1446,6111499,856860
1447,5912755,829592
1448,5763331,836894
1449,5852512,836098
1450,6177670,884152
1451,6660162,947833
1452,6019301,868012
1453,5885149,845737
1454,6314223,872113
1455,6248902,952105
1456,6493172,904464
1457,6048405,888655
1458,6185518,940430
1459,6187426,897182
1460,6337620,872708
1461,5983017,845508
1462,5880563,891111
1463,5839034,861574
1464,5895606,851058
1465,5917383,865689
1466,5861616,853372
1467,5925197,855036
1468,6022892,1017393
1469,6010062,894866
1470,6026392,882142
1471,6177536,1002423
1472,6833773,915603
1473,6461349,916824
1474,6230002,890694
1475,5990225,891665
1476,5936104,863292
1477,5957841,871371
1478,5919317,868677
1479,6004574,881691
1480,5915248,893778
1481,5906508,870343
1482,6207019,898793
1483,6151041,934087
1484,6062417,903075
1485,6132287,901287
1486,6288997,924744
1487,6787892,1036249
1488,6286842,909502
1489,6024335,888498
1490,6041212,891899
1491,6046546,900517
1492,5981747,882600
1493,5986277,893519
1494,5919324,887578
1495,6012954,916700
1496,6106224,917908
1497,6152138,916059
1498,6134327,951550
1499,6145145,952887
1500,6819466,1119038
1501,6760792,924362
1502,6188073,923294
1503,6223830,921882
1504,6082529,943217
1505,5970135,895673
1506,6015043,899594
1507,6017262,975980
1508,6030944,996542
1509,6455726,931291
1510,6138714,939106
1511,6217984,938654
1512,6192838,957752
1513,6544314,942716
1514,6253645,938299
1515,6279241,957991
